INFO:root:/homes/hf17/Documents/Paper/E3DNet/tools/finetuning_E3DNet.py --gpus 0,1,2,3,4 --output ./ckpt/E3DNet_ckpt_ucf101 --pretrained_dir ./ckpt/E3DNet_ckpt_kinetics --model_prefix test --load_epoch 26 --cudnn_tune fastest --batch_per_device 8 --n_frame 16 --lr 0.0001 --wd 0.005 --num_class 101 --num_epoch 15 --datadir /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/ --lr_scheduler_step 15
INFO:root:Namespace(batch_per_device=8, batch_size=16, begin_epoch=0, bn_mom=0.9, crop_size=112, cudnn_tune='fastest', datadir='/mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/', epoch_size=100000, gpus='0,1,2,3,4', load_epoch=26, lr=0.0001, lr_scheduler_factor=0.1, lr_scheduler_step=15, model_depth=34, model_prefix='test', momentum=0.9, n_frame=16, num_class=101, num_epoch=15, optimizer='sgd', output='./ckpt/E3DNet_ckpt_ucf101', plot=0, pretrained_dir='./ckpt/E3DNet_ckpt_kinetics', scale_h=128, scale_w=171, wd=0.005, workspace=512)
INFO:root:number of gpu 5
INFO:root:Running on GPUs: [0, 1, 2, 3, 4]
INFO:root:Using epoch size: 100000
INFO:lib.data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 9537
INFO:lib.data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 3783
INFO:root:Epoch[0] Batch [0-20]	Speed: 16.81 samples/sec	accuracy=0.010714
INFO:root:Epoch[0] Batch [20-40]	Speed: 16.71 samples/sec	accuracy=0.012500
INFO:root:Epoch[0] Batch [40-60]	Speed: 16.71 samples/sec	accuracy=0.018750
INFO:root:Epoch[0] Batch [60-80]	Speed: 16.62 samples/sec	accuracy=0.022500
INFO:root:Epoch[0] Batch [80-100]	Speed: 16.65 samples/sec	accuracy=0.020000
INFO:root:Epoch[0] Batch [100-120]	Speed: 16.67 samples/sec	accuracy=0.020000
INFO:root:Epoch[0] Batch [120-140]	Speed: 16.75 samples/sec	accuracy=0.012500
INFO:root:Epoch[0] Batch [140-160]	Speed: 16.70 samples/sec	accuracy=0.027500
INFO:root:Epoch[0] Batch [160-180]	Speed: 16.70 samples/sec	accuracy=0.020000
INFO:root:Epoch[0] Batch [180-200]	Speed: 16.64 samples/sec	accuracy=0.017500
INFO:root:Epoch[0] Batch [200-220]	Speed: 16.67 samples/sec	accuracy=0.041250
INFO:root:Epoch[0] Batch [220-240]	Speed: 16.63 samples/sec	accuracy=0.036250
INFO:root:Epoch[0] Batch [240-260]	Speed: 16.66 samples/sec	accuracy=0.037500
INFO:root:Epoch[0] Batch [260-280]	Speed: 16.56 samples/sec	accuracy=0.030000
INFO:root:Epoch[0] Batch [280-300]	Speed: 16.61 samples/sec	accuracy=0.050000
INFO:root:Epoch[0] Batch [300-320]	Speed: 16.69 samples/sec	accuracy=0.047500
INFO:root:Epoch[0] Batch [320-340]	Speed: 16.58 samples/sec	accuracy=0.055000
INFO:root:Epoch[0] Batch [340-360]	Speed: 16.59 samples/sec	accuracy=0.057500
INFO:root:Epoch[0] Batch [360-380]	Speed: 16.58 samples/sec	accuracy=0.058750
INFO:root:Epoch[0] Batch [380-400]	Speed: 16.53 samples/sec	accuracy=0.067500
INFO:root:Epoch[0] Batch [400-420]	Speed: 16.61 samples/sec	accuracy=0.068750
INFO:root:Epoch[0] Batch [420-440]	Speed: 16.55 samples/sec	accuracy=0.083750
INFO:root:Epoch[0] Batch [440-460]	Speed: 16.52 samples/sec	accuracy=0.092500
INFO:root:Epoch[0] Batch [460-480]	Speed: 16.58 samples/sec	accuracy=0.096250
INFO:root:Epoch[0] Batch [480-500]	Speed: 16.55 samples/sec	accuracy=0.083750
INFO:root:Epoch[0] Batch [500-520]	Speed: 16.62 samples/sec	accuracy=0.088750
INFO:root:Epoch[0] Batch [520-540]	Speed: 16.56 samples/sec	accuracy=0.111250
INFO:root:Epoch[0] Batch [540-560]	Speed: 16.51 samples/sec	accuracy=0.112500
INFO:root:Epoch[0] Batch [560-580]	Speed: 16.63 samples/sec	accuracy=0.111250
INFO:root:Epoch[0] Batch [580-600]	Speed: 16.58 samples/sec	accuracy=0.137500
INFO:root:Epoch[0] Batch [600-620]	Speed: 16.58 samples/sec	accuracy=0.137500
INFO:root:Epoch[0] Batch [620-640]	Speed: 16.61 samples/sec	accuracy=0.121250
INFO:root:Epoch[0] Batch [640-660]	Speed: 16.51 samples/sec	accuracy=0.131250
INFO:root:Epoch[0] Batch [660-680]	Speed: 16.44 samples/sec	accuracy=0.135000
INFO:root:Epoch[0] Batch [680-700]	Speed: 16.63 samples/sec	accuracy=0.165000
INFO:root:Epoch[0] Batch [700-720]	Speed: 16.57 samples/sec	accuracy=0.162500
INFO:root:Epoch[0] Batch [720-740]	Speed: 16.50 samples/sec	accuracy=0.196250
INFO:root:Epoch[0] Batch [740-760]	Speed: 16.57 samples/sec	accuracy=0.165000
INFO:root:Epoch[0] Batch [760-780]	Speed: 16.53 samples/sec	accuracy=0.193750
INFO:root:Epoch[0] Batch [780-800]	Speed: 16.59 samples/sec	accuracy=0.205000
INFO:root:Epoch[0] Batch [800-820]	Speed: 16.52 samples/sec	accuracy=0.200000
INFO:root:Epoch[0] Batch [820-840]	Speed: 16.57 samples/sec	accuracy=0.226250
INFO:root:Epoch[0] Batch [840-860]	Speed: 16.55 samples/sec	accuracy=0.218750
INFO:root:Epoch[0] Batch [860-880]	Speed: 16.52 samples/sec	accuracy=0.226250
INFO:root:Epoch[0] Batch [880-900]	Speed: 16.57 samples/sec	accuracy=0.218750
INFO:root:Epoch[0] Batch [900-920]	Speed: 16.53 samples/sec	accuracy=0.252500
INFO:root:Epoch[0] Batch [920-940]	Speed: 16.52 samples/sec	accuracy=0.262500
INFO:root:Epoch[0] Batch [940-960]	Speed: 16.56 samples/sec	accuracy=0.250000
INFO:root:Epoch[0] Batch [960-980]	Speed: 16.61 samples/sec	accuracy=0.277500
INFO:root:Epoch[0] Batch [980-1000]	Speed: 16.55 samples/sec	accuracy=0.257500
INFO:root:Epoch[0] Batch [1000-1020]	Speed: 16.60 samples/sec	accuracy=0.290000
INFO:root:Epoch[0] Batch [1020-1040]	Speed: 16.56 samples/sec	accuracy=0.303750
INFO:root:Epoch[0] Batch [1040-1060]	Speed: 16.48 samples/sec	accuracy=0.292500
INFO:root:Epoch[0] Batch [1060-1080]	Speed: 16.60 samples/sec	accuracy=0.311250
INFO:root:Epoch[0] Batch [1080-1100]	Speed: 16.51 samples/sec	accuracy=0.290000
INFO:root:Epoch[0] Batch [1100-1120]	Speed: 16.50 samples/sec	accuracy=0.325000
INFO:root:Epoch[0] Batch [1120-1140]	Speed: 16.48 samples/sec	accuracy=0.301250
INFO:root:Epoch[0] Batch [1140-1160]	Speed: 16.60 samples/sec	accuracy=0.346250
INFO:root:Epoch[0] Batch [1160-1180]	Speed: 16.54 samples/sec	accuracy=0.332500
INFO:root:Epoch[0] Batch [1180-1200]	Speed: 16.57 samples/sec	accuracy=0.338750
INFO:root:Epoch[0] Batch [1200-1220]	Speed: 16.59 samples/sec	accuracy=0.351250
INFO:root:Epoch[0] Batch [1220-1240]	Speed: 16.52 samples/sec	accuracy=0.342500
