INFO:root:finetuing_m3d1_kinetics_ucf101_dif_frame.py --gpus 1,2,3,4 --output ./cr_m3d1_101_output_kinetics_ucf101_step10/ --pretrained_dir ./m3d1_50_3gpu_kinetics --model_prefix test --load_epoch 26 --cudnn_tune fastest --batch_per_device 16 --n_frame 14 --lr 0.0001 --wd 0.005 --num_class 101 --num_epoch 15 --datadir /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/ --lr_scheduler_step 10
INFO:root:Namespace(batch_per_device=16, batch_size=16, begin_epoch=0, bn_mom=0.9, crop_size=112, cudnn_tune='fastest', datadir='/mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/', epoch_size=100000, gpus='1,2,3,4', load_epoch=26, lr=0.0001, lr_scheduler_factor=0.1, lr_scheduler_step=10, model_depth=34, model_prefix='test', momentum=0.9, n_frame=14, num_class=101, num_epoch=15, optimizer='sgd', output='./cr_m3d1_101_output_kinetics_ucf101_step10/', plot=0, pretrained_dir='./m3d1_50_3gpu_kinetics', scale_h=128, scale_w=171, wd=0.005, workspace=512)
INFO:root:number of gpu 4
INFO:root:Running on GPUs: [1, 2, 3, 4]
INFO:root:Using epoch size: 99968
INFO:data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 9537
INFO:data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 3783
DEBUG:matplotlib.font_manager:findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans (u'/home/hf17/Tool/anaconda2/envs/mxnet/lib/python2.7/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
INFO:root:Epoch[0] Batch [0-20]	Speed: 23.10 samples/sec	accuracy=0.015625
INFO:root:Epoch[0] Batch [20-40]	Speed: 23.03 samples/sec	accuracy=0.016406
INFO:root:Epoch[0] Batch [40-60]	Speed: 23.00 samples/sec	accuracy=0.021094
INFO:root:Epoch[0] Batch [60-80]	Speed: 22.83 samples/sec	accuracy=0.019531
INFO:root:Epoch[0] Batch [80-100]	Speed: 22.71 samples/sec	accuracy=0.033594
INFO:root:Epoch[0] Batch [100-120]	Speed: 22.72 samples/sec	accuracy=0.032813
INFO:root:Epoch[0] Batch [120-140]	Speed: 22.75 samples/sec	accuracy=0.034375
INFO:root:Epoch[0] Batch [140-160]	Speed: 22.64 samples/sec	accuracy=0.045312
INFO:root:Epoch[0] Batch [160-180]	Speed: 22.58 samples/sec	accuracy=0.052344
INFO:root:Epoch[0] Batch [180-200]	Speed: 22.53 samples/sec	accuracy=0.068750
INFO:root:Epoch[0] Batch [200-220]	Speed: 22.54 samples/sec	accuracy=0.076563
INFO:root:Epoch[0] Batch [220-240]	Speed: 22.55 samples/sec	accuracy=0.073438
INFO:root:Epoch[0] Batch [240-260]	Speed: 22.58 samples/sec	accuracy=0.099219
INFO:root:Epoch[0] Batch [260-280]	Speed: 22.60 samples/sec	accuracy=0.092188
INFO:root:Epoch[0] Batch [280-300]	Speed: 22.50 samples/sec	accuracy=0.105469
INFO:root:Epoch[0] Batch [300-320]	Speed: 22.62 samples/sec	accuracy=0.123438
INFO:root:Epoch[0] Batch [320-340]	Speed: 22.49 samples/sec	accuracy=0.132812
INFO:root:Epoch[0] Batch [340-360]	Speed: 22.53 samples/sec	accuracy=0.164844
INFO:root:Epoch[0] Batch [360-380]	Speed: 22.54 samples/sec	accuracy=0.157031
INFO:root:Epoch[0] Batch [380-400]	Speed: 22.51 samples/sec	accuracy=0.187500
INFO:root:Epoch[0] Batch [400-420]	Speed: 22.54 samples/sec	accuracy=0.203906
INFO:root:Epoch[0] Batch [420-440]	Speed: 22.54 samples/sec	accuracy=0.197656
INFO:root:Epoch[0] Batch [440-460]	Speed: 22.63 samples/sec	accuracy=0.239844
INFO:root:Epoch[0] Batch [460-480]	Speed: 22.50 samples/sec	accuracy=0.246875
INFO:root:Epoch[0] Batch [480-500]	Speed: 22.56 samples/sec	accuracy=0.256250
INFO:root:Epoch[0] Batch [500-520]	Speed: 22.61 samples/sec	accuracy=0.262500
INFO:root:Epoch[0] Batch [520-540]	Speed: 22.63 samples/sec	accuracy=0.289844
INFO:root:Epoch[0] Batch [540-560]	Speed: 22.61 samples/sec	accuracy=0.309375
INFO:root:Epoch[0] Batch [560-580]	Speed: 22.47 samples/sec	accuracy=0.296094
INFO:root:Epoch[0] Batch [580-600]	Speed: 22.59 samples/sec	accuracy=0.317969
INFO:root:Epoch[0] Batch [600-620]	Speed: 22.50 samples/sec	accuracy=0.343750
INFO:root:Epoch[0] Batch [620-640]	Speed: 22.49 samples/sec	accuracy=0.335938
INFO:root:Epoch[0] Batch [640-660]	Speed: 22.51 samples/sec	accuracy=0.365625
INFO:root:Epoch[0] Batch [660-680]	Speed: 22.44 samples/sec	accuracy=0.371875
INFO:root:Epoch[0] Batch [680-700]	Speed: 22.55 samples/sec	accuracy=0.395313
INFO:root:Epoch[0] Batch [700-720]	Speed: 22.52 samples/sec	accuracy=0.386719
INFO:root:Epoch[0] Batch [720-740]	Speed: 22.51 samples/sec	accuracy=0.387500
INFO:root:Epoch[0] Batch [740-760]	Speed: 22.54 samples/sec	accuracy=0.419531
INFO:root:Epoch[0] Batch [760-780]	Speed: 22.54 samples/sec	accuracy=0.443750
INFO:root:Epoch[0] Batch [780-800]	Speed: 22.52 samples/sec	accuracy=0.432031
INFO:root:Epoch[0] Batch [800-820]	Speed: 22.50 samples/sec	accuracy=0.471875
INFO:root:Epoch[0] Batch [820-840]	Speed: 22.56 samples/sec	accuracy=0.464844
INFO:root:Epoch[0] Batch [840-860]	Speed: 22.51 samples/sec	accuracy=0.463281
INFO:root:Epoch[0] Batch [860-880]	Speed: 22.46 samples/sec	accuracy=0.468750
INFO:root:Epoch[0] Batch [880-900]	Speed: 22.55 samples/sec	accuracy=0.486719
INFO:root:Epoch[0] Batch [900-920]	Speed: 22.62 samples/sec	accuracy=0.486719
INFO:root:Epoch[0] Batch [920-940]	Speed: 22.59 samples/sec	accuracy=0.478906
INFO:root:Epoch[0] Batch [940-960]	Speed: 22.53 samples/sec	accuracy=0.528125
INFO:root:Epoch[0] Batch [960-980]	Speed: 22.47 samples/sec	accuracy=0.515625
INFO:root:Epoch[0] Batch [980-1000]	Speed: 22.47 samples/sec	accuracy=0.529687
INFO:root:Epoch[0] Batch [1000-1020]	Speed: 22.46 samples/sec	accuracy=0.509375
INFO:root:Epoch[0] Batch [1020-1040]	Speed: 22.53 samples/sec	accuracy=0.531250
INFO:root:Epoch[0] Batch [1040-1060]	Speed: 22.56 samples/sec	accuracy=0.529687
INFO:root:Epoch[0] Batch [1060-1080]	Speed: 22.49 samples/sec	accuracy=0.543750
INFO:root:Epoch[0] Batch [1080-1100]	Speed: 22.50 samples/sec	accuracy=0.536719
INFO:root:Epoch[0] Batch [1100-1120]	Speed: 22.51 samples/sec	accuracy=0.567187
INFO:root:Epoch[0] Batch [1120-1140]	Speed: 22.57 samples/sec	accuracy=0.580469
INFO:root:Epoch[0] Batch [1140-1160]	Speed: 22.56 samples/sec	accuracy=0.569531
INFO:root:Epoch[0] Batch [1160-1180]	Speed: 22.50 samples/sec	accuracy=0.558594
INFO:root:Epoch[0] Batch [1180-1200]	Speed: 22.46 samples/sec	accuracy=0.581250
INFO:root:Epoch[0] Batch [1200-1220]	Speed: 22.48 samples/sec	accuracy=0.573438
INFO:root:Epoch[0] Batch [1220-1240]	Speed: 22.45 samples/sec	accuracy=0.580469
INFO:root:Epoch[0] Batch [1240-1260]	Speed: 22.54 samples/sec	accuracy=0.611719
INFO:root:Epoch[0] Batch [1260-1280]	Speed: 22.48 samples/sec	accuracy=0.592187
INFO:root:Epoch[0] Batch [1280-1300]	Speed: 22.48 samples/sec	accuracy=0.601562
INFO:root:Epoch[0] Batch [1300-1320]	Speed: 22.51 samples/sec	accuracy=0.608594
INFO:root:Epoch[0] Batch [1320-1340]	Speed: 22.54 samples/sec	accuracy=0.598437
INFO:root:Epoch[0] Batch [1340-1360]	Speed: 22.53 samples/sec	accuracy=0.609375
INFO:root:Epoch[0] Batch [1360-1380]	Speed: 22.52 samples/sec	accuracy=0.639062
INFO:root:Epoch[0] Batch [1380-1400]	Speed: 22.59 samples/sec	accuracy=0.625781
INFO:root:Epoch[0] Batch [1400-1420]	Speed: 22.55 samples/sec	accuracy=0.647656
INFO:root:Epoch[0] Batch [1420-1440]	Speed: 22.59 samples/sec	accuracy=0.649219
INFO:root:Epoch[0] Batch [1440-1460]	Speed: 22.49 samples/sec	accuracy=0.630469
INFO:root:Epoch[0] Batch [1460-1480]	Speed: 22.51 samples/sec	accuracy=0.642969
INFO:root:Epoch[0] Batch [1480-1500]	Speed: 22.46 samples/sec	accuracy=0.650000
INFO:root:Epoch[0] Batch [1500-1520]	Speed: 22.54 samples/sec	accuracy=0.658594
INFO:root:Epoch[0] Batch [1520-1540]	Speed: 22.55 samples/sec	accuracy=0.632812
INFO:root:Epoch[0] Batch [1540-1560]	Speed: 22.47 samples/sec	accuracy=0.689844
INFO:root:Epoch[0] Train-accuracy=0.380712
INFO:root:Epoch[0] Time cost=4439.148
INFO:root:Saved checkpoint to "./cr_m3d1_101_output_kinetics_ucf101_step10//test-0001.params"
INFO:root:Epoch[0] Validation-accuracy=0.596875
INFO:root:Epoch[1] Batch [0-20]	Speed: 22.55 samples/sec	accuracy=0.659226
INFO:root:Epoch[1] Batch [20-40]	Speed: 22.56 samples/sec	accuracy=0.654687
INFO:root:Epoch[1] Batch [40-60]	Speed: 22.50 samples/sec	accuracy=0.677344
INFO:root:Epoch[1] Batch [60-80]	Speed: 22.49 samples/sec	accuracy=0.676562
INFO:root:Epoch[1] Batch [80-100]	Speed: 22.53 samples/sec	accuracy=0.675781
INFO:root:Epoch[1] Batch [100-120]	Speed: 22.61 samples/sec	accuracy=0.676562
INFO:root:Epoch[1] Batch [120-140]	Speed: 22.56 samples/sec	accuracy=0.678125
INFO:root:Epoch[1] Batch [140-160]	Speed: 22.54 samples/sec	accuracy=0.700781
INFO:root:Epoch[1] Batch [160-180]	Speed: 22.52 samples/sec	accuracy=0.671094
INFO:root:Epoch[1] Batch [180-200]	Speed: 22.55 samples/sec	accuracy=0.688281
INFO:root:Epoch[1] Batch [200-220]	Speed: 22.53 samples/sec	accuracy=0.716406
INFO:root:Epoch[1] Batch [220-240]	Speed: 22.59 samples/sec	accuracy=0.703906
INFO:root:Epoch[1] Batch [240-260]	Speed: 22.58 samples/sec	accuracy=0.707812
INFO:root:Epoch[1] Batch [260-280]	Speed: 22.49 samples/sec	accuracy=0.702344
INFO:root:Epoch[1] Batch [280-300]	Speed: 22.56 samples/sec	accuracy=0.691406
INFO:root:Epoch[1] Batch [300-320]	Speed: 22.50 samples/sec	accuracy=0.703906
INFO:root:Epoch[1] Batch [320-340]	Speed: 22.53 samples/sec	accuracy=0.700000
INFO:root:Epoch[1] Batch [340-360]	Speed: 22.57 samples/sec	accuracy=0.721875
INFO:root:Epoch[1] Batch [360-380]	Speed: 22.56 samples/sec	accuracy=0.731250
INFO:root:Epoch[1] Batch [380-400]	Speed: 22.63 samples/sec	accuracy=0.721875
INFO:root:Epoch[1] Batch [400-420]	Speed: 22.55 samples/sec	accuracy=0.716406
INFO:videos_reader:Invalid counter 10
INFO:root:Epoch[1] Batch [420-440]	Speed: 22.60 samples/sec	accuracy=0.715625
INFO:root:Epoch[1] Batch [440-460]	Speed: 22.52 samples/sec	accuracy=0.729688
INFO:root:Epoch[1] Batch [460-480]	Speed: 22.46 samples/sec	accuracy=0.717187
INFO:root:Epoch[1] Batch [480-500]	Speed: 22.50 samples/sec	accuracy=0.721875
INFO:root:Epoch[1] Batch [500-520]	Speed: 22.53 samples/sec	accuracy=0.747656
INFO:root:Epoch[1] Batch [520-540]	Speed: 22.56 samples/sec	accuracy=0.739062
INFO:root:Epoch[1] Batch [540-560]	Speed: 22.56 samples/sec	accuracy=0.746875
INFO:root:Epoch[1] Batch [560-580]	Speed: 22.55 samples/sec	accuracy=0.753906
INFO:root:Epoch[1] Batch [580-600]	Speed: 22.55 samples/sec	accuracy=0.740625
INFO:root:Epoch[1] Batch [600-620]	Speed: 22.48 samples/sec	accuracy=0.748437
INFO:root:Epoch[1] Batch [620-640]	Speed: 22.57 samples/sec	accuracy=0.750000
INFO:root:Epoch[1] Batch [640-660]	Speed: 22.49 samples/sec	accuracy=0.760938
INFO:root:Epoch[1] Batch [660-680]	Speed: 22.53 samples/sec	accuracy=0.775781
INFO:root:Epoch[1] Batch [680-700]	Speed: 22.53 samples/sec	accuracy=0.753906
INFO:root:Epoch[1] Batch [700-720]	Speed: 22.61 samples/sec	accuracy=0.745313
INFO:root:Epoch[1] Batch [720-740]	Speed: 22.67 samples/sec	accuracy=0.745313
INFO:root:Epoch[1] Batch [740-760]	Speed: 22.48 samples/sec	accuracy=0.768750
INFO:root:Epoch[1] Batch [760-780]	Speed: 22.52 samples/sec	accuracy=0.754687
INFO:root:Epoch[1] Batch [780-800]	Speed: 22.55 samples/sec	accuracy=0.755469
INFO:root:Epoch[1] Batch [800-820]	Speed: 22.52 samples/sec	accuracy=0.782031
INFO:root:Epoch[1] Batch [820-840]	Speed: 22.51 samples/sec	accuracy=0.764062
INFO:root:Epoch[1] Batch [840-860]	Speed: 22.52 samples/sec	accuracy=0.776563
INFO:root:Epoch[1] Batch [860-880]	Speed: 22.59 samples/sec	accuracy=0.759375
INFO:root:Epoch[1] Batch [880-900]	Speed: 22.50 samples/sec	accuracy=0.775781
INFO:root:Epoch[1] Batch [900-920]	Speed: 22.67 samples/sec	accuracy=0.757031
INFO:root:Epoch[1] Batch [920-940]	Speed: 22.62 samples/sec	accuracy=0.760938
INFO:root:Epoch[1] Batch [940-960]	Speed: 22.59 samples/sec	accuracy=0.799219
INFO:root:Epoch[1] Batch [960-980]	Speed: 22.58 samples/sec	accuracy=0.785156
INFO:root:Epoch[1] Batch [980-1000]	Speed: 22.55 samples/sec	accuracy=0.782031
INFO:root:Epoch[1] Batch [1000-1020]	Speed: 22.44 samples/sec	accuracy=0.782031
INFO:root:Epoch[1] Batch [1020-1040]	Speed: 22.53 samples/sec	accuracy=0.762500
